Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,265,245,213,210,232,234,210,243,245,187,190,222
2002,202,188,199,198,198,205,196,212,205,206,192,183
2003,187,227,165,193,181,183,180,180,171,190,175,183
2004,199,175,204,194,189,223,230,195,202,190,213,190
2005,192,192,206,193,194,190,202,202,208,179,235,201
2006,198,205,211,187,227,176,171,215,192,203,185,220
2007,226,222,243,254,242,242,227,259,197,215,196,202
2008,215,217,169,185,194,190,157,171,200,193,159,178
2009,196,173,194,176,148,163,196,144,142,138,154,142
2010,146,158,139,150,154,166,167,164,166,143,185,169
2011,173,134,167,176,173,170,175,166,152,154,133,137
2012,151,158,179,159,178,154,152,161,137,151,150,167
2013,136,165,153,158,165,163,150,198,193,157,197,184
2014,199,170,162,203,170,223,210,185,236,217,217,119
2015,195,189,189,229,193,181,235,183,164,183,189,185
2016,241,239,214,233,198,201,185,210,190,204,225,215
2017,239,217,224,218,210,238,222,232,234,210,219,204
2018,203,177,210,195,234,222,214,212,233,264,226,213
2019,184,209,195,189,206,186,206,214,181,206,177,201
2020,203,213,682,460,212,203,217,194,234,241,262,248
2021,214,220,234,251,250,221,236,259,265,205,247,223
