Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,65,63,63,65,72,67,64,61,63,61,51,53
2002,55,51,49,49,48,50,57,50,52,52,41,47
2003,50,44,45,53,46,47,43,43,43,46,48,51
2004,47,45,46,47,47,46,45,48,46,48,49,43
2005,47,51,52,52,50,48,46,50,48,48,51,50
2006,51,49,51,53,54,57,56,50,56,47,48,52
2007,53,63,56,46,57,49,52,51,54,52,48,49
2008,49,48,44,54,48,51,51,49,56,46,58,48
2009,48,58,50,48,52,49,45,47,44,46,51,53
2010,43,46,47,50,43,46,49,51,42,45,43,56
2011,56,41,50,45,51,48,44,42,46,46,44,40
2012,45,46,46,46,45,56,47,52,41,43,40,40
2013,38,40,42,44,44,34,44,45,48,47,44,47
2014,42,45,42,44,54,46,50,43,45,52,40,41
2015,47,44,51,55,50,51,46,46,55,47,54,55
2016,54,55,58,51,48,45,62,48,43,51,49,60
2017,59,52,55,54,55,45,48,50,54,53,48,48
2018,50,49,52,50,51,64,53,60,56,59,60,54
2019,51,55,47,58,57,72,55,60,51,54,56,55
2020,55,57,146,90,47,50,63,59,52,62,61,40
2021,49,60,55,50,57,61,58,73,62,56,68,59
