Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,78,72,47,100,80,85,85,83,85,82,97,81
2002,75,67,69,74,67,67,69,73,71,68,66,67
2003,69,74,75,68,64,68,70,67,69,70,72,82
2004,64,72,78,64,72,71,72,69,63,67,86,77
2005,76,70,75,76,79,83,73,86,70,67,77,82
2006,74,78,81,73,82,78,86,81,79,84,88,77
2007,84,84,89,84,84,75,79,88,93,87,77,93
2008,79,82,69,88,71,82,73,74,76,71,69,64
2009,69,78,61,60,58,54,58,58,57,55,58,56
2010,55,55,55,51,59,65,60,55,54,55,56,64
2011,66,61,60,63,61,59,60,71,68,57,71,61
2012,56,66,73,67,56,66,59,65,63,73,59,61
2013,72,65,59,65,60,70,63,61,64,63,66,62
2014,69,72,70,68,77,70,76,78,74,72,83,73
2015,71,69,67,68,77,82,67,73,60,73,69,88
2016,72,72,78,71,68,73,71,69,68,71,76,69
2017,75,71,77,79,79,83,82,84,77,76,74,78
2018,75,74,75,85,74,79,72,85,84,90,82,91
2019,80,84,82,88,71,73,76,73,82,69,80,74
2020,89,78,185,187,63,71,57,79,85,87,96,78
2021,93,75,100,110,86,83,86,108,93,86,105,97
