Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,28,26,30,25,28,27,29,29,25,31,31,27
2002,32,28,22,26,26,35,24,27,25,27,26,24
2003,26,31,26,27,33,22,27,28,25,27,27,25
2004,25,27,29,29,24,25,30,25,27,25,26,26
2005,30,25,28,25,25,27,24,28,26,26,24,23
2006,23,24,21,26,24,25,26,23,23,31,24,23
2007,25,24,22,21,22,21,21,24,23,25,25,25
2008,25,26,23,26,24,22,25,25,23,22,22,23
2009,23,26,25,23,24,25,21,20,22,23,23,22
2010,25,21,25,25,20,24,29,20,20,22,22,22
2011,19,20,19,19,18,19,17,18,17,23,19,19
2012,21,20,23,19,18,20,23,23,18,22,18,18
2013,24,21,24,20,23,22,20,22,25,21,21,18
2014,21,19,26,23,32,19,22,19,21,22,20,23
2015,21,23,21,18,20,22,20,26,23,22,23,24
2016,22,25,24,28,20,22,22,25,23,22,25,23
2017,23,28,22,23,24,23,24,24,24,22,28,22
2018,27,22,23,25,23,34,33,25,23,22,22,23
2019,21,24,25,21,23,26,21,21,24,27,25,23
2020,22,25,65,48,19,24,25,22,19,24,25,23
2021,24,25,23,19,21,26,29,27,26,26,32,24
