Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,139,123,141,130,118,95,125,136,115,123,119,124
2002,121,92,94,100,108,118,107,102,93,118,97,114
2003,108,99,83,115,126,100,119,113,115,119,112,112
2004,98,140,149,125,82,115,100,95,150,123,140,106
2005,133,88,136,102,104,113,98,104,127,101,94,112
2006,93,94,91,92,112,103,135,93,101,125,87,86
2007,135,99,105,103,98,94,88,109,83,91,122,109
2008,96,111,101,87,90,82,109,98,86,91,103,86
2009,105,94,85,98,92,103,87,93,99,92,74,88
2010,89,99,127,97,90,97,104,96,83,88,87,83
2011,93,103,91,100,90,94,80,89,93,113,89,99
2012,76,92,73,78,76,78,88,75,73,75,72,69
2013,94,81,102,91,91,80,86,100,96,79,97,106
2014,85,91,93,87,97,106,88,98,107,89,103,137
2015,89,94,75,80,89,91,85,97,78,92,84,102
2016,90,100,102,96,85,114,106,87,106,132,121,100
2017,103,112,113,89,125,105,107,108,101,107,101,84
2018,97,92,102,123,100,99,125,113,94,83,95,121
2019,101,111,118,100,88,110,96,121,115,119,111,112
2020,111,123,445,284,94,117,83,90,100,155,110,99
2021,108,112,118,122,115,107,119,139,152,125,123,121
