Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,23,18,25,22,19,20,19,19,19,23,19,17
2002,22,21,18,20,18,19,23,21,20,21,22,21
2003,23,23,21,20,21,20,21,20,20,25,21,20
2004,20,20,24,24,24,20,22,27,24,23,20,25
2005,19,21,22,21,23,23,20,26,27,22,24,24
2006,24,26,25,23,22,26,23,23,23,21,23,21
2007,26,22,22,24,23,25,24,23,20,25,23,22
2008,23,23,23,22,23,22,21,25,22,23,23,23
2009,22,22,20,21,18,18,22,20,20,18,19,23
2010,17,19,19,21,15,18,18,17,17,17,18,18
2011,15,18,17,17,18,17,18,19,19,17,18,18
2012,15,18,17,20,19,20,18,19,17,20,20,17
2013,21,20,20,21,20,20,21,22,20,20,22,20
2014,20,22,21,21,20,19,24,21,22,23,21,25
2015,22,22,24,23,23,22,21,21,24,23,22,27
2016,23,22,20,30,23,22,23,24,23,21,22,23
2017,23,22,22,22,22,24,22,22,22,22,22,22
2018,22,23,24,22,22,26,23,23,20,22,21,21
2019,23,23,22,22,25,22,25,22,27,36,25,24
2020,24,22,54,48,13,19,24,21,21,20,29,20
2021,31,21,23,23,16,20,22,25,28,26,31,25
