Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,51,42,51,49,48,39,47,50,52,59,46,45
2002,49,47,37,49,43,43,54,42,44,44,47,47
2003,45,45,55,41,44,43,44,42,43,48,45,47
2004,49,53,49,56,52,49,54,57,48,49,47,50
2005,61,51,53,57,56,57,50,60,54,56,62,58
2006,59,63,63,62,54,57,59,60,61,61,57,54
2007,71,52,62,58,67,69,79,65,67,58,58,56
2008,62,70,61,57,74,48,60,66,75,72,64,72
2009,48,58,45,54,37,42,47,41,38,47,48,53
2010,57,44,41,44,48,50,45,45,42,37,43,43
2011,46,50,46,43,50,47,44,42,42,37,41,40
2012,38,40,40,51,42,41,42,41,37,46,42,41
2013,42,40,37,47,44,41,42,48,48,44,50,45
2014,45,49,50,45,54,44,51,48,51,47,41,42
2015,46,47,51,47,44,47,45,39,46,53,50,50
2016,52,59,44,55,53,47,72,52,46,50,80,50
2017,51,50,51,48,46,47,49,56,53,50,50,57
2018,52,53,58,61,56,61,54,57,55,58,56,60
2019,56,51,58,59,65,60,62,56,58,61,56,58
2020,75,76,298,207,85,72,72,55,61,57,81,67
2021,75,66,65,88,106,71,72,72,80,69,66,67
