Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,31,28,33,30,31,28,30,31,28,28,38,29
2002,32,29,24,30,28,31,31,28,24,31,28,23
2003,28,26,26,25,27,20,23,21,33,25,24,26
2004,26,26,25,25,24,27,26,27,32,26,28,27
2005,29,27,31,28,27,27,25,27,28,30,25,27
2006,26,26,26,25,28,25,28,27,25,30,24,25
2007,27,26,26,25,24,24,26,28,24,30,32,21
2008,27,29,26,26,26,27,27,27,27,23,25,32
2009,26,26,25,24,24,23,23,22,23,25,23,23
2010,24,20,27,20,22,22,23,20,21,22,23,20
2011,21,21,19,17,21,20,20,19,21,20,22,21
2012,23,27,24,22,22,21,20,22,21,19,22,25
2013,25,20,25,22,21,23,21,22,22,21,21,17
2014,23,21,22,28,31,21,24,26,23,25,22,24
2015,23,24,23,18,21,25,22,23,23,20,23,25
2016,25,23,25,23,23,24,24,24,23,23,24,24
2017,24,27,25,25,28,25,27,28,29,28,28,25
2018,29,27,31,25,25,26,27,23,24,21,24,25
2019,21,23,23,23,26,28,23,25,25,24,25,24
2020,22,26,75,58,20,23,22,20,20,30,26,24
2021,23,25,25,24,22,29,29,28,35,30,40,26
