Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,37,30,35,37,30,28,31,49,33,36,29,28
2002,31,34,27,35,30,30,35,33,31,33,35,36
2003,33,31,29,28,31,31,31,29,30,34,35,28
2004,33,35,35,32,38,31,31,34,34,31,31,32
2005,33,35,35,34,34,34,29,37,37,42,41,37
2006,31,34,40,36,32,34,35,34,37,33,34,30
2007,34,31,33,36,33,34,36,34,33,34,33,32
2008,33,34,34,31,31,33,37,35,30,34,35,35
2009,34,33,32,33,27,27,27,26,26,25,29,30
2010,27,28,28,27,26,28,25,26,27,32,26,32
2011,23,27,26,24,28,27,25,28,27,25,26,25
2012,25,27,26,29,36,28,30,29,23,28,27,25
2013,30,26,27,33,28,28,31,31,31,28,32,29
2014,27,28,28,27,26,27,28,28,29,29,27,30
2015,36,35,36,28,30,31,31,29,29,34,33,33
2016,31,30,26,29,33,36,29,29,30,28,30,27
2017,32,28,30,29,29,28,27,31,31,29,25,28
2018,30,30,30,31,30,31,30,32,28,34,33,31
2019,34,34,37,34,35,33,43,35,38,35,39,37
2020,36,35,88,66,23,28,34,30,27,29,46,39
2021,31,37,34,36,29,35,33,41,33,34,37,40
