Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,91,68,79,80,82,74,64,74,76,72,71,57
2002,81,127,59,67,61,63,67,65,61,55,72,68
2003,68,101,63,63,59,65,70,65,62,71,61,62
2004,69,61,75,69,68,65,74,73,75,60,63,69
2005,68,72,66,65,79,83,67,76,89,80,75,72
2006,72,85,81,78,94,73,66,75,72,70,71,63
2007,68,66,68,81,72,81,76,69,60,79,71,82
2008,74,73,80,74,76,80,82,83,78,86,82,99
2009,75,83,68,71,47,55,63,59,64,47,57,47
2010,65,57,54,52,57,44,51,48,53,50,55,63
2011,46,43,55,54,55,60,60,65,50,56,72,55
2012,51,51,46,52,68,62,55,53,42,74,46,41
2013,69,57,63,61,54,53,61,56,60,54,59,61
2014,53,62,57,56,58,56,61,60,56,63,57,57
2015,63,62,67,60,58,60,55,63,70,60,71,69
2016,61,72,68,70,74,58,65,62,71,61,64,64
2017,73,69,68,68,65,71,74,77,73,73,72,70
2018,75,74,80,72,78,84,79,82,82,77,83,74
2019,81,82,76,83,84,88,94,83,79,106,80,103
2020,80,93,208,244,60,68,71,66,73,66,87,81
2021,81,71,84,98,81,76,70,84,86,82,86,84
