Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,154,161,152,156,147,148,163,163,147,168,174,169
2002,162,166,175,140,154,156,152,131,142,132,158,149
2003,183,129,128,137,133,155,156,151,183,141,135,140
2004,128,141,158,158,158,172,140,168,147,170,136,142
2005,189,172,164,134,165,140,139,154,146,123,130,146
2006,147,191,145,141,146,159,149,170,147,167,183,161
2007,153,173,177,180,167,146,162,158,187,172,183,177
2008,172,161,131,145,137,189,151,152,136,157,153,159
2009,137,157,147,132,124,127,143,127,117,129,120,104
2010,122,103,110,138,114,125,136,115,133,115,105,117
2011,110,116,120,124,130,121,133,135,125,111,122,140
2012,162,164,162,137,156,143,132,132,130,136,132,147
2013,142,161,138,148,141,171,141,148,156,146,147,174
2014,158,145,157,131,136,156,137,152,150,156,147,147
2015,142,141,141,155,150,171,148,178,183,193,168,181
2016,158,167,175,160,164,167,159,165,141,174,154,159
2017,161,153,150,143,164,163,171,182,146,195,229,186
2018,193,197,209,197,214,195,203,210,206,204,202,214
2019,234,236,226,247,220,235,228,223,233,193,181,194
2020,192,182,508,279,162,172,169,174,174,203,203,195
2021,190,187,187,205,213,209,245,232,223,233,238,219
