Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,132,122,127,112,128,118,100,105,114,99,91,83
2002,101,88,91,112,100,92,96,88,88,84,79,85
2003,84,89,82,89,85,79,86,89,81,92,91,93
2004,88,83,97,90,87,93,94,86,85,84,91,83
2005,93,81,80,85,94,94,87,100,103,93,89,89
2006,92,101,88,75,89,84,93,89,94,103,108,99
2007,98,99,104,111,112,95,108,103,93,106,130,107
2008,108,90,95,116,93,108,96,97,109,105,91,105
2009,94,130,104,78,92,99,76,104,79,71,83,80
2010,77,77,98,79,85,75,88,71,110,68,105,72
2011,85,79,86,93,70,102,88,78,74,103,75,80
2012,85,86,75,100,105,92,83,110,78,84,88,86
2013,80,88,94,86,93,79,82,85,85,78,85,80
2014,73,92,96,88,91,81,96,89,115,103,102,92
2015,85,91,95,85,93,106,106,114,108,102,97,112
2016,103,117,119,105,100,108,100,100,93,100,90,105
2017,98,86,89,92,100,110,95,102,102,87,94,90
2018,91,95,100,107,100,98,102,106,110,113,135,86
2019,102,111,101,106,106,106,101,101,96,93,118,108
2020,134,105,305,220,82,87,123,85,87,88,98,86
2021,109,114,104,105,103,105,107,122,115,109,117,118
