state,eta
0,0.580565766
1,0.801869423
2,0.429849929
4,0.786667737
5,0.753296478
6,0.647360803
8,0.739252151
9,0.87198039
10,0.681484915
12,0.744754338
13,0.790063225
16,0.839157562
17,0.737082606
18,0.725655887
19,0.597838055
20,0.634708196
21,0.748108711
22,0.44940829
23,0.8420521
24,0.719256273
25,0.726082325
26,0.736447678
27,0.527433498
28,0.778195489
29,0.635992895
30,0.623036466
31,0.627993009
32,0.778747532
33,0.781861179
34,0.692131098
35,0.661621562
36,0.639067573
37,0.542086968
38,0.382395497
39,0.726370838
40,0.656572389
41,0.73522484
42,0.736733503
44,0.836511177
45,0.808444764
46,0.453022929
47,0.81216692
48,0.493115449
49,0.721520131
50,0.6844588
51,0.679485325
53,0.798743627
54,0.674186328
55,0.429692317
56,0.604959122
,
