state,date,PUAPEUC,,,,,
AL,2020-04-04,0,,,,,
AK,2020-04-04,0,,,,,
AZ,2020-04-04,0,,,,,
AR,2020-04-04,0,,,,,
CA,2020-04-04,0,,,,,
CO,2020-04-04,0,,,,,
CT,2020-04-04,0,,,,,
DE,2020-04-04,0,,,,,
DC,2020-04-04,0,,,,,
FL,2020-04-04,0,,,,,
GA,2020-04-04,0,,,,,
HI,2020-04-04,0,,,,,
ID,2020-04-04,15106,,,,,
IL,2020-04-04,0,,,,,
IN,2020-04-04,0,,,,,
IA,2020-04-04,0,,,,,
KS,2020-04-04,0,,,,,
KY,2020-04-04,0,,,,,
LA,2020-04-04,0,,,,,
ME,2020-04-04,0,,,,,
MD,2020-04-04,0,,,,,
MA,2020-04-04,0,,,,,
MI,2020-04-04,0,,,,,
MN,2020-04-04,16843,,,,,
MS,2020-04-04,0,,,,,
MO,2020-04-04,0,,,,,
MT,2020-04-04,0,,,,,
NE,2020-04-04,0,,,,,
NV,2020-04-04,0,,,,,
NH,2020-04-04,0,,,,,
NJ,2020-04-04,0,,,,,
NM,2020-04-04,0,,,,,
NY,2020-04-04,0,,,,,
NC,2020-04-04,0,,,,,
ND,2020-04-04,0,,,,,
OH,2020-04-04,0,,,,,
OK,2020-04-04,129,,,,,
OR,2020-04-04,0,,,,,
PA,2020-04-04,0,,,,,
PR,2020-04-04,0,,,,,
RI,2020-04-04,0,,,,,
SC,2020-04-04,0,,,,,
SD,2020-04-04,0,,,,,
TN,2020-04-04,0,,,,,
TX,2020-04-04,0,,,,,
UT,2020-04-04,0,,,,,
VT,2020-04-04,0,,,,,
VI,2020-04-04,0,,,,,
VA,2020-04-04,0,,,,,
WA,2020-04-04,0,,,,,
WV,2020-04-04,0,,,,,
WI,2020-04-04,0,,,,,
WY,2020-04-04,0,,,,,
AL,2020-04-11,0,,,,,
AK,2020-04-11,0,,,,,
AZ,2020-04-11,0,,,,,
AR,2020-04-11,0,,,,,
CA,2020-04-11,0,,,,,
CO,2020-04-11,0,,,,,
CT,2020-04-11,0,,,,,
DE,2020-04-11,0,,,,,
DC,2020-04-11,0,,,,,
FL,2020-04-11,0,,,,,
GA,2020-04-11,0,,,,,
HI,2020-04-11,0,,,,,
ID,2020-04-11,8930,,,,,
IL,2020-04-11,0,,,,,
IN,2020-04-11,0,,,,,
IA,2020-04-11,0,,,,,
KS,2020-04-11,0,,,,,
KY,2020-04-11,0,,,,,
LA,2020-04-11,0,,,,,
ME,2020-04-11,0,,,,,
MD,2020-04-11,0,,,,,
MA,2020-04-11,0,,,,,
MI,2020-04-11,0,,,,,
MN,2020-04-11,19966,,,,,
MS,2020-04-11,0,,,,,
MO,2020-04-11,0,,,,,
MT,2020-04-11,0,,,,,
NE,2020-04-11,0,,,,,
NV,2020-04-11,0,,,,,
NH,2020-04-11,0,,,,,
NJ,2020-04-11,0,,,,,
NM,2020-04-11,0,,,,,
NY,2020-04-11,48,,,,,
NC,2020-04-11,0,,,,,
ND,2020-04-11,0,,,,,
OH,2020-04-11,0,,,,,
OK,2020-04-11,167,,,,,
OR,2020-04-11,0,,,,,
PA,2020-04-11,0,,,,,
PR,2020-04-11,0,,,,,
RI,2020-04-11,23182,,,,,
SC,2020-04-11,0,,,,,
SD,2020-04-11,0,,,,,
TN,2020-04-11,0,,,,,
TX,2020-04-11,26600,,,,,
UT,2020-04-11,0,,,,,
VT,2020-04-11,0,,,,,
VI,2020-04-11,0,,,,,
VA,2020-04-11,0,,,,,
WA,2020-04-11,0,,,,,
WV,2020-04-11,0,,,,,
WI,2020-04-11,0,,,,,
WY,2020-04-11,0,,,,,
AL,2020-04-18,0,,,,,
AK,2020-04-18,0,,,,,
AZ,2020-04-18,0,,,,,
AR,2020-04-18,0,,,,,
CA,2020-04-18,0,,,,,
CO,2020-04-18,0,,,,,
CT,2020-04-18,0,,,,,
DE,2020-04-18,0,,,,,
DC,2020-04-18,0,,,,,
FL,2020-04-18,0,,,,,
GA,2020-04-18,0,,,,,
HI,2020-04-18,0,,,,,
ID,2020-04-18,6117,,,,,
IL,2020-04-18,0,,,,,
IN,2020-04-18,0,,,,,
IA,2020-04-18,0,,,,,
KS,2020-04-18,0,,,,,
KY,2020-04-18,0,,,,,
LA,2020-04-18,49470,,,,,
ME,2020-04-18,0,,,,,
MD,2020-04-18,0,,,,,
MA,2020-04-18,0,,,,,
MI,2020-04-18,0,,,,,
MN,2020-04-18,0,,,,,
MS,2020-04-18,0,,,,,
MO,2020-04-18,0,,,,,
MT,2020-04-18,0,,,,,
NE,2020-04-18,0,,,,,
NV,2020-04-18,0,,,,,
NH,2020-04-18,0,,,,,
NJ,2020-04-18,44300,,,,,
NM,2020-04-18,0,,,,,
NY,2020-04-18,6,,,,,
NC,2020-04-18,0,,,,,
ND,2020-04-18,0,,,,,
OH,2020-04-18,0,,,,,
OK,2020-04-18,101,,,,,
OR,2020-04-18,0,,,,,
PA,2020-04-18,37600,,,,,
PR,2020-04-18,0,,,,,
RI,2020-04-18,28498,,,,,
SC,2020-04-18,0,,,,,
SD,2020-04-18,0,,,,,
TN,2020-04-18,0,,,,,
TX,2020-04-18,48325,,,,,
UT,2020-04-18,0,,,,,
VT,2020-04-18,0,,,,,
VI,2020-04-18,0,,,,,
VA,2020-04-18,0,,,,,
WA,2020-04-18,4083,,,,,
WV,2020-04-18,0,,,,,
WI,2020-04-18,0,,,,,
WY,2020-04-18,0,,,,,
AL,2020-04-25,2862,,,,,
AK,2020-04-25,0,,,,,
AZ,2020-04-25,0,,,,,
AR,2020-04-25,0,,,,,
CA,2020-04-25,0,,,,,
CO,2020-04-25,40906,,,,,
CT,2020-04-25,0,,,,,
DE,2020-04-25,0,,,,,
DC,2020-04-25,0,,,,,
FL,2020-04-25,0,,,,,
GA,2020-04-25,0,,,,,
HI,2020-04-25,0,,,,,
ID,2020-04-25,3778,,,,,
IL,2020-04-25,0,,,,,
IN,2020-04-25,0,,,,,
IA,2020-04-25,6002,,,,,
KS,2020-04-25,0,,,,,
KY,2020-04-25,0,,,,,
LA,2020-04-25,35915,,,,,
ME,2020-04-25,0,,,,,
MD,2020-04-25,0,,,,,
MA,2020-04-25,115960,,,,,
MI,2020-04-25,0,,,,,
MN,2020-04-25,9369,,,,,
MS,2020-04-25,28978,,,,,
MO,2020-04-25,36667,,,,,
MT,2020-04-25,7867,,,,,
NE,2020-04-25,0,,,,,
NV,2020-04-25,0,,,,,
NH,2020-04-25,0,,,,,
NJ,2020-04-25,0,,,,,
NM,2020-04-25,0,,,,,
NY,2020-04-25,957,,,,,
NC,2020-04-25,54609,,,,,
ND,2020-04-25,0,,,,,
OH,2020-04-25,0,,,,,
OK,2020-04-25,93,,,,,
OR,2020-04-25,0,,,,,
PA,2020-04-25,63788,,,,,
PR,2020-04-25,0,,,,,
RI,2020-04-25,7154,,,,,
SC,2020-04-25,0,,,,,
SD,2020-04-25,0,,,,,
TN,2020-04-25,0,,,,,
TX,2020-04-25,33817,,,,,
UT,2020-04-25,0,,,,,
VT,2020-04-25,0,,,,,
VI,2020-04-25,0,,,,,
VA,2020-04-25,0,,,,,
