prod,prod_lagged,L,birth,prod_lagged4
97.3975,98.00041,4028194,-0.000665062,98.73694
96.67,97.3975,4025515,-0.000784993,98.45786
95.88086,96.67,4022355,-0.00099121,98.00041
95.14362,95.88086,4018368,-0.001192026,97.3975
94.52821,95.14362,4013578,-0.001255488,96.67
94.17767,94.52821,4008539,-0.001216653,95.88086
94.21849,94.17767,4003662,-0.00110324,95.14362
94.59761,94.21849,3999245,-0.000941428,94.52821
95.21558,94.59761,3995480,-0.000738334,94.17767
95.96303,95.21558,3992530,-0.000597366,94.21849
96.71624,95.96303,3990145,-0.000513014,94.59761
97.40226,96.71624,3988098,-0.000451343,95.21558
97.99181,97.40226,3986298,-0.000402629,95.96303
98.47754,97.99181,3984693,-0.000341055,96.71624
98.8623,98.47754,3983334,-0.000247531,97.40226
99.13736,98.8623,3982348,-0.000192349,97.99181
99.34077,99.13736,3981582,-0.000151447,98.47754
99.51781,99.34077,3980979,-0.0000786,98.8623
99.71895,99.51781,3980666,-0.0000377,99.13736
99.97632,99.71895,3980516,-0.0000457,99.34077
100.3056,99.97632,3980334,-0.000163554,99.51781
100.7092,100.3056,3979683,-0.000317362,99.71895
101.1949,100.7092,3978420,-0.000439873,99.97632
101.7349,101.1949,3976670,-0.000476026,100.3056
102.2531,101.7349,3974777,-0.00046619,100.7092
102.6568,102.2531,3972924,-0.000459611,101.1949
102.8923,102.6568,3971098,-0.000476694,101.7349
102.9567,102.8923,3969205,-0.000476922,102.2531
102.8573,102.9567,3967312,-0.000477149,102.6568
102.6382,102.8573,3965419,0,102.8923
102.3465,102.6382,3965419,0,102.9567
102.0083,102.3465,3965419,0,102.8573
101.6569,102.0083,3965419,0,102.6382
101.6569,101.6569,3965419,0,102.3465
101.6569,101.6569,3965419,0,102.0083
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
101.6569,101.6569,3965419,0,101.6569
