y,z
0.9539127,1.308486
2.424605,0.8962351
2.76668,2.441064
1.039936,1.55225
1.132572,1.706654
2.819888,-0.1002345
5.311872,3.215087
6.239045,3.330643
5.780078,5.204139
4.604904,0.4978306
3.734485,4.749655
3.846242,1.296433
1.717812,1.831223
2.213179,0.9899894
1.515647,1.372095
3.765738,0.2124216
1.000247,1.79015
-0.1056674,-0.3011745
-1.127527,0.1526507
-0.3790731,1.246807
1.232036,-1.83701
-0.4580115,0.328348
0.0296565,-0.8676128
0.5823761,0.2137152
0.0669043,0.0156906
-3.226118,-1.400263
-2.836638,-3.622611
-1.793816,1.031128
-0.3648543,-2.133411
1.128163,1.149627
1.244258,0.4114434
0.4916294,0.2460295
-0.4529774,-1.33529
-0.7721111,0.7472482
1.175348,0.8852186
3.591993,0.9809558
2.218529,3.957576
4.157285,1.108037
2.294221,2.437828
2.989853,2.192794
2.74389,0.8612623
2.777718,3.942644
3.446178,1.291127
2.911121,1.491616
1.777653,3.184011
2.472754,1.909376
3.9907,0.7114943
3.450705,1.827463
3.166323,2.074044
2.211042,2.749604
2.107955,0.9694443
1.03062,1.746993
2.13816,-0.9561477
1.589311,2.803906
-0.7630122,-0.0018694
-0.0781691,1.14529
1.501909,0.7935455
0.734477,0.1898821
2.246959,2.369809
3.009871,1.427351
3.071111,1.880472
4.344731,4.416881
5.383234,2.747804
6.036577,6.250228
4.217709,1.24276
4.187127,0.581749
2.432312,0.819609
2.083406,2.719811
4.275178,2.92088
4.684389,3.553838
5.130378,2.710575
3.882399,3.375595
2.040984,2.608036
3.040902,0.2850685
3.715317,2.899094
2.776579,2.872112
2.843535,3.386742
3.504538,0.8165289
2.043368,1.852376
1.848235,0.6549958
3.74791,3.713391
5.220234,3.217336
6.71916,3.253503
5.282187,4.649817
3.709969,3.054114
2.262167,1.055648
0.5645426,0.6962732
1.56726,1.212456
3.249584,1.06154
2.71092,3.347599
4.208385,1.367789
3.940807,3.145788
3.008051,0.170407
2.177261,2.488984
1.037967,1.540048
1.006634,1.86351
-0.5715794,-0.708262
-1.655433,-0.1799005
-1.850021,-2.588281
-1.899403,0.3765602
-1.186842,-1.068
-1.334303,-0.3883169
1.058735,-0.2447788
1.421116,1.612258
2.244433,0.7548423
2.912574,2.968804
3.556647,1.039959
0.4302403,0.0433006
-0.3119856,1.046728
-0.2317969,-1.174403
-1.595636,-0.2151234
-1.923581,-3.496962
-2.849518,-0.3658947
-1.15188,-0.5998601
0.3921218,0.7864164
1.072047,-0.8018715
-0.4314887,-0.3005978
0.2409363,0.4948673
1.432458,1.448337
2.787501,-1.022496
2.96077,2.976753
3.395985,2.658966
3.083135,0.2987878
2.932515,3.22799
4.403623,0.7214764
4.450198,3.247159
3.435273,2.089763
2.433176,0.9523057
2.579921,1.911788
2.367773,2.475041
2.362378,1.442408
1.557579,-0.0953393
-0.4786038,-0.6328757
1.032862,0.7876662
1.453251,-0.6069073
2.91069,1.748346
2.710451,2.231273
3.787908,2.412796
5.458753,1.594434
3.751379,3.104641
3.40522,2.134545
3.070193,2.397386
3.697652,0.3268386
2.986354,4.447095
1.951608,0.8887089
1.718126,0.9442554
0.3391337,1.351301
1.059633,1.199499
0.6279576,0.0518917
0.341869,0.6604485
-0.1305211,2.227926
0.6179512,-1.434265
0.4960262,2.009877
0.6092802,-0.4840989
-1.514283,2.058693
0.0006879,-1.262788
