y,z
1.5123784,1.169192704
1.3950144,1.179624665
1.6730219,1.182352735
1.599809,1.185455409
1.2689748,1.065125874
1.1537545,1.120202087
1.0953424,1.030868375
1.1879204,0.945027014
1.4913884,0.992732491
1.3973589,1.257506869
1.1169957,1.20749374
1.0347162,1.322326151
1.2676602,1.24187676
0.6264569,1.450570989
0.3851592,1.604843987
1.1560978,1.613476784
0.6579917,1.522342295
0.5250503,1.419819941
0.7383863,1.346722551
0.325942,1.311534867
0.7870118,1.25211055
1.1101665,1.079475628
2.0962504,1.486065144
1.4559464,1.482184796
1.4736948,1.496345681
0.6762597,1.594291617
0.6909612,1.735037366
0.7650329,1.632627275
0.8143406,1.568997646
0.9303521,1.37783155
0.9774668,1.245247661
0.9232214,1.246586975
1.362284,1.218924134
1.2724512,1.38004633
1.2194481,1.28378715
1.2528414,1.283245583
1.2314089,1.252736771
0.9266656,1.392887374
0.8417688,1.500136128
0.8994057,1.567073242
1.0261645,1.428846901
0.9850634,1.205632695
0.9847419,1.110462254
1.6073479,1.185295715
1.5524004,1.33949783
1.6020471,1.39546614
1.244046,1.257020512
1.1037405,1.274121787
1.2795441,1.185945283
1.433284,1.336210534
1.2314709,1.464349016
1.1668083,1.456091051
1.0999495,1.457889226
0.9386524,1.371310614
0.930207,1.295996387
1.3775171,1.339321227
2.0594456,1.424211036
1.090665,1.424501973
0.523531,1.314214983
0.5459914,1.390982052
0.7605634,1.227159032
1.2118138,1.488483893
1.2879901,1.586131401
1.2842802,1.491597471
1.5893447,1.512759536
1.2136195,1.548758298
1.0941774,1.389815917
1.6738269,1.4220139
1.3488346,1.409504368
1.4732965,1.419263984
1.7074026,1.27028944
2.0069245,1.403905155
2.298442,1.337362335
1.7097581,1.451005493
1.552273694,1.533066362
1.614131205,1.546743699
1.767663371,1.550756291
1.885918626,1.435827168
1.953884464,1.457998162
1.997215066,1.529646541
2.004613614,1.510312279
1.991965558,1.383756509
2.066333297,1.339981528
2.12842227,1.240657454
2.080706575,1.151872724
2.082461964,1.135293853
2.051629374,1.128584738
2.13349061,1.131061701
2.281182237,1.164258286
2.417612369,1.099537658
2.402612868,1.151938817
2.430554648,1.087445479
2.303622017,1.071836189
2.105220005,1.100986198
1.958800005,0.961485437
1.847287476,1.026652071
1.738178079,0.95253926
1.66512517,0.94400086
2.148009437,0.825941727
2.161477112,0.692124385
2.178668353,0.686008536
2.282731692,0.755506994
2.373461223,0.839358221
2.443497971,0.960335382
2.306148945,0.876567384
2.366206841,0.933385017
2.359891801,0.963711274
2.271801441,0.947022867
2.130777266,0.964102761
2.214316162,1.154358159
1.949437352,1.312196836
2.026953116,1.40160714
2.115389936,1.372753244
2.128684776,1.427151597
2.310699861,1.423838212
2.320105417,1.492684351
2.226259944,1.493440667
2.260188486,1.527519276
2.187026156,1.48986009
2.126641552,1.677830347
2.028877877,0.482545
2.007214666,0.4620579
1.80685255,0.4342468
1.910123372,0.4151561
1.801274424,0.44314
2.11008625,0.479711
2.115587264,0.4909892
2.065424379,0.4856808
2.028564346,0.5000562
2.00828639,0.492473
1.977335814,0.4823061
2.056788655,0.4801717
2.033289188,0.4678165
1.961334731,0.428169
1.87754999,0.3899939
1.972646422,0.406572
1.964938715,0.4754181
2.167849043,0.4898141
2.283691372,0.4868334
2.24586951,0.5063849
2.178573379,0.4860878
2.157516814,0.5163028
2.11658336,0.526763
2.15943115,0.5245154
2.056740032,0.5517006
2.004880532,0.5531653
1.813526047,0.5407213
1.8453385,0.5547772
1.934499605,0.578517
2.017913147,0.5524557
2.034100836,0.5740528
2.105266584,0.5789417
2.011453685,0.583543
1.92342553,0.6232203
2.003305652,0.6370791
1.985975255,0.6286628
1.882678324,0.6444054
1.876780394,0.6503545
1.702683357,0.6449226
1.70708522,0.651774
1.791782711,0.6807352
1.856454074,0.6733128
1.862927867,0.6206968
1.893645822,0.6173475
1.768008835,0.6013878
1.751988414,0.6248399
1.808279158,0.6324272
1.752124124,0.6500154
1.716728916,0.6406671
1.73732862,0.6437984
1.617996127,0.6304098
1.63358053,0.6003346
1.736575629,0.60009
1.778673295,0.5890214
1.834676176,0.5926219
1.90305723,0.596577
1.812914663,0.6084695
1.891764489,0.6039774
1.930404809,0.6247848
1.885699949,0.5948028
1.852926802,0.6216006
1.894974019,0.6241533
1.727215986,0.6043903
1.796835074,0.5922003
1.830654254,0.5762305
1.921175448,0.5773117
1.94848193,0.5438672
1.94788942,0.5429088
1.896569134,0.5387366
1.911780496,0.5650529
1.886687307,0.5778415
1.908423092,0.5529075
1.913708572,0.5560882
1.846413255,0.5538965
